trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.09000007274974452, 'e': 0.04278266244458944}",25,16,20.174406004135783,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.09000006547477006, 'e': 0.041927009195697654}",25,16,4.392684421908008,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.09000005892729306, 'e': 0.041088469011783695}",20,16,7.300796193535389,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.09000005303456375, 'e': 0.040266699631548025}",30,22,16.921926323340394,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.09000004773110738, 'e': 0.03946136563891706}",25,10,25.695460151174988,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.09000004295799664, 'e': 0.03867213832613872}",20,12,8.724872260537229,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.09000003866219698, 'e': 0.03789869555961595}",20,10,17.14829425934129,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.09000003479597728, 'e': 0.03714072164842362}",20,3,6.108756817674629,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.09000003131637956, 'e': 0.036397907215455154}",30,4,46.36196909081603,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.09000002818474159, 'e': 0.03566994907114605}",20,1,29.11477200373795,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.09000002536626743, 'e': 0.03495655008972313}",20,16,7.3522777479850046,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.09000002282964069, 'e': 0.03425741908792866}",20,0,25.15375268477678,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
